lb_code,ksmart_lb_code,lb_type,district_name,lb_name,ksmart_name,match_method,ward_agreement,wards_ours,wards_ksmart
G01069,G010102,Grama Panchayat,THIRUVANANTHAPURAM,Edava,Edava,exact,1.000,18,18
G01070,G010103,Grama Panchayat,THIRUVANANTHAPURAM,Elakamon,Elakamon,exact,1.000,18,18
G01071,G010101,Grama Panchayat,THIRUVANANTHAPURAM,Chemmaruthy,Chemmaruthy,exact,1.000,20,20
G01072,G010104,Grama Panchayat,THIRUVANANTHAPURAM,MANAMBOOR,Manamboor,exact,1.000,17,17
G01073,G010105,Grama Panchayat,THIRUVANANTHAPURAM,Ottoor,Ottoor,exact,1.000,14,14
G02001,G020101,Grama Panchayat,KOLLAM,Oachira,Oachira,exact,0.947,19,19
G02002,G020102,Grama Panchayat,KOLLAM,Kulasekharapuram,Kulasekharapuram,exact,1.000,24,24
G02003,G020104,Grama Panchayat,KOLLAM,Thazhava,Thazhava,exact,0.958,24,24
G02004,G020103,Grama Panchayat,KOLLAM,Clappana,Clappana,exact,1.000,16,16
G02005,G020105,Grama Panchayat,KOLLAM,Alappad,Alappad,exact,1.000,16,16
G02006,G020106,Grama Panchayat,KOLLAM,Thodiyoor,Thodiyoor,exact,1.000,24,24
G02007,G020201,Grama Panchayat,KOLLAM,Sasthamcotta,Sasthamcotta,exact,1.000,21,21
G02008,G020202,Grama Panchayat,KOLLAM,West Kallada,West Kallada,exact,0.933,15,15
G02009,G020203,Grama Panchayat,KOLLAM,Sooranad South,Sooranad South,exact,1.000,17,17
G02010,G020204,Grama Panchayat,KOLLAM,Poruvazhi,Poruvazhy,fuzzy,1.000,19,19
G02011,G020205,Grama Panchayat,KOLLAM,Kunnathur,Kunnathur,exact,1.000,18,18
G02012,G020206,Grama Panchayat,KOLLAM,Sooranad North,Sooranad North,exact,0.947,19,19
G02013,G020207,Grama Panchayat,KOLLAM,Mynagappally,Mynagappally,exact,0.750,24,24
G02014,G020301,Grama Panchayat,KOLLAM,Ummannoor,Ummannur,fuzzy,0.952,21,21
G02015,G020302,Grama Panchayat,KOLLAM,Vettikavala,Vettikkavala,fuzzy,1.000,22,22
G02016,G020303,Grama Panchayat,KOLLAM,Melila,Melila,exact,1.000,16,16
