pdf_id,gcs_path,gcs_bucket,file_size_bytes,bucket,year_label,lb_type_label,district_name,local_body_name,project_no,era
86959f3d-18b4-49b6-aa19-ba4a0a1e5986,pdfs/2014-2015/Grama_Panchayat/Idukki/Marayoor_Grama_Panchayat/100.pdf,your-pdf-bucket,207710,top,2014-2015,Grama Panchayat,Idukki,Marayoor Grama Panchayat,100,2012-2016
be4e578f-3071-4029-b582-90f0652e029b,pdfs/2019-2020/Grama_Panchayat/Kannur/Pattuvam_Grama_Panchayat/122.pdf,your-pdf-bucket,197720,top,2019-2020,Grama Panchayat,Kannur,Pattuvam Grama Panchayat,122,2017-2020
aa17ddc8-d857-44d4-ad6f-7b376ba537de,pdfs/2019-2020/Grama_Panchayat/Idukki/Chakkupallam_Grama_Panchayat/63.pdf,your-pdf-bucket,206945,top,2019-2020,Grama Panchayat,Idukki,Chakkupallam Grama Panchayat,63,2017-2020
610a8f65-857a-4190-bf81-f8a544d055fa,pdfs/2020-2021/Grama_Panchayat/Palakkad/Pookkottukavu_Grama_Panchayat/17.pdf,your-pdf-bucket,199129,top,2020-2021,Grama Panchayat,Palakkad,Pookkottukavu Grama Panchayat,17,2017-2020
426ab955-53b2-40f4-b6c4-b1b99ed3b08b,pdfs/2020-2021/Grama_Panchayat/Pathanamthitta/Mallappally_Grama_Panchayat/51.pdf,your-pdf-bucket,194639,top,2020-2021,Grama Panchayat,Pathanamthitta,Mallappally Grama Panchayat,51,2017-2020
6da3e695-0412-479c-af58-5c5c9d8430bd,pdfs/2024-2025/Grama_Panchayat/Thrissur/Punnayurkulam_Grama_Panchayat/92.pdf,your-pdf-bucket,199339,top,2024-2025,Grama Panchayat,Thrissur,Punnayurkulam Grama Panchayat,92,2021-2026
b41d2879-b9c9-44c9-92ba-c0f70959597b,pdfs/2021-2022/Grama_Panchayat/Ernakulam/Alangad_Grama_Panchayat/210.pdf,your-pdf-bucket,192479,top,2021-2022,Grama Panchayat,Ernakulam,Alangad Grama Panchayat,210,2021-2026
95b66f05-dd04-4cce-a183-8c2edfd5dd7e,pdfs/2023-2024/Grama_Panchayat/Malappuram/Kodur_Grama_Panchayat/133.pdf,your-pdf-bucket,195027,top,2023-2024,Grama Panchayat,Malappuram,Kodur Grama Panchayat,133,2021-2026
f12025b2-ad47-442b-96c7-51795f86f082,pdfs/2023-2024/Grama_Panchayat/Malappuram/Edavanna_Grama_Panchayat/29.pdf,your-pdf-bucket,199236,top,2023-2024,Grama Panchayat,Malappuram,Edavanna Grama Panchayat,29,2021-2026
edef6776-d53a-49ac-ba97-b506ed3572c6,pdfs/2018-2019/Municipality/Kozhikode/Koduvally_Municipality/372.pdf,your-pdf-bucket,196813,top,2018-2019,Municipality,Kozhikode,Koduvally Municipality,372,2017-2020
