pdf_id,page_count,tiles,bucket,n_t,cost_t,n_n,cost_n,out_n,delta,cost_savings
93f29672-bfce-496f-945f-71c188a3ee92,13,4,median,3,0.037426,4,0.011014,1489,1,0.026412
cc82ead1-dc2b-4234-8865-dea7b70d5b76,12,3,median,3,0.024969,4,0.009252,1442,1,0.015717000000000002
a65dc4af-d4c6-4251-a944-1ddd022d8c63,21,6,top,5,0.051702,5,0.018543,2915,0,0.033158999999999994
edef6776-d53a-49ac-ba97-b506ed3572c6,21,6,top,5,0.047652,4,0.033738,7980,-1,0.013914000000000003
bb8f7a37-ddf9-427a-a2ca-325390528b76,12,3,median,3,0.019131,5,0.009927,1667,2,0.009203999999999999
53151355-7822-4f7a-8029-68c32c1a8db7,12,3,median,3,0.021921,3,0.00894,1338,0,0.012981
0391e142-b170-4bef-923a-1b9dee44b9f3,23,6,top,7,0.066618,9,0.020079,3426,2,0.046539
50c203c7-8517-48b6-b049-68c94e994383,12,3,median,3,0.035706,5,0.022281,5785,2,0.013425000000000003
0bcf06ca-c6df-45f6-93cd-4eb420269944,13,4,median,3,0.028039,3,0.011131,1528,0,0.016908
b55319f7-eafa-4fa9-8c9e-6d8b66279ecc,22,6,top,5,0.076988,7,0.018925,3042,2,0.058063000000000003
de6d93d0-53e0-4866-a4a6-2afde5cd4182,23,6,top,7,0.07131,6,0.018789,2996,-1,0.052521
1e34f20c-ba5d-411d-900a-c7da3e42884f,12,3,median,3,0.023253,3,0.00849,1188,0,0.014763
9e464f19-58f4-485e-976e-8dd25fd01531,15,4,median,6,0.044104,8,0.025984,6478,2,0.018119999999999997
ed4762d8-1a24-45d6-94b5-5db7cb306f32,12,3,median,3,0.030156,3,0.008919,1331,0,0.021237
c168a31d-4182-46e5-bc88-a624d079a2b4,12,3,median,3,0.027174,4,0.009378,1484,1,0.017796
4d56777c-1ccd-4612-92c2-173e8312ba37,24,6,top,8,0.061534,11,0.019919,3372,3,0.041615
0bf75c59-0cc1-4ec2-a67e-dc887b51152f,22,6,top,5,0.065141,15,0.019619,3273,10,0.04552200000000001
dcce667f-55ad-4842-b52b-bd0e3f6de65b,13,4,median,5,0.03682,6,0.017476,3643,1,0.019344
244c4b59-ad35-41f2-b697-d03673096dd1,13,4,median,3,0.03421,4,0.011845,1766,1,0.022364999999999996
c8d068f2-115e-4945-a5ee-92769ac7b1b8,23,6,top,8,0.054309,6,0.019833,3344,-2,0.03447600000000001
f0e56baf-3931-4587-93e8-fce456df1628,21,6,top,5,0.0501,8,0.018636,2946,3,0.031464
30034abd-d9e4-48d8-8549-c5e70a7e1596,12,3,median,3,0.024657,3,0.008484,1186,0,0.016173
1137439f-1502-4200-9e7a-e30be639a533,24,6,top,5,0.059579,6,0.018269,2822,1,0.04131
3feaa81d-0d22-4695-8d37-30d937f704bf,13,4,median,3,0.035629,5,0.011584,1679,2,0.024045
083807a2-00b8-4451-97fd-c53e5640cd8f,13,4,median,3,0.038584,3,0.011584,1679,0,0.027
ac239b78-f972-4965-97a8-b0214793edea,13,4,median,4,0.05236,7,0.01345,2301,3,0.03891
9e75d556-516b-42bf-9fff-59fbff387739,13,4,median,4,0.034753,5,0.012742,2065,1,0.022011
bfa8c66e-2b23-479b-945d-4e5abcc48e10,29,8,top,9,0.095747,15,0.028535,5162,6,0.067212
6fda6a3f-42a8-4ec2-9b8d-a6a547da4c74,23,6,top,6,0.056094,6,0.019242,3147,0,0.036851999999999996
3e902f3c-4a35-47fd-b51d-178a55c87469,21,6,top,6,0.232329,5,0.018294,2832,-1,0.214035
